Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s,Mode,BaseSeed,MetaSeed,Method
P,200,335,333,333,314,19,21,0.942942942942943,0.937313432835821,0.940119760479042,0.994029850746269,69.2792792792793,20.0000000000005,295.82936807392,0.003003003003003,Zonly,42,43,Stack
S,50,335,302,242,57,245,278,0.188741721854305,0.170149253731343,0.178963893249608,0.901492537313433,1019.33774834437,215,2666.37922015893,0.155629139072848,Zonly,42,43,Stack
S,100,335,302,242,107,195,228,0.354304635761589,0.319402985074627,0.335949764521193,0.901492537313433,1019.33774834437,215,2666.37922015893,0.155629139072848,Zonly,42,43,Stack
S,200,335,302,242,149,153,186,0.493377483443709,0.444776119402985,0.467817896389325,0.901492537313433,1019.33774834437,215,2666.37922015893,0.155629139072848,Zonly,42,43,Stack
P,50,335,334,333,246,88,89,0.736526946107784,0.734328358208955,0.73542600896861,0.997014925373134,109.640718562874,29.9999999999994,748.748256823219,0.00598802395209581,Zonly,42,44,Stack
P,100,335,334,333,291,43,44,0.87125748502994,0.86865671641791,0.869955156950673,0.997014925373134,109.640718562874,29.9999999999994,748.748256823219,0.00598802395209581,Zonly,42,44,Stack
P,200,335,334,333,311,23,24,0.931137724550898,0.928358208955224,0.929745889387145,0.997014925373134,109.640718562874,29.9999999999994,748.748256823219,0.00598802395209581,Zonly,42,44,Stack
S,50,335,307,255,58,249,277,0.188925081433225,0.173134328358209,0.180685358255452,0.916417910447761,995.14657980456,220.000000000001,2359.31372178119,0.172638436482085,Zonly,42,44,Stack
S,100,335,307,255,105,202,230,0.342019543973941,0.313432835820896,0.327102803738318,0.916417910447761,995.14657980456,220.000000000001,2359.31372178119,0.172638436482085,Zonly,42,44,Stack
S,200,335,307,255,148,159,187,0.482084690553746,0.441791044776119,0.461059190031153,0.916417910447761,995.14657980456,220.000000000001,2359.31372178119,0.172638436482085,Zonly,42,44,Stack
P,50,335,333,331,246,87,89,0.738738738738739,0.734328358208955,0.736526946107784,0.994029850746269,68.3183183183183,19.9999999999996,296.393233642317,0.003003003003003,Full3C,43,42,Stack
P,100,335,333,331,293,40,42,0.87987987987988,0.874626865671642,0.877245508982036,0.994029850746269,68.3183183183183,19.9999999999996,296.393233642317,0.003003003003003,Full3C,43,42,Stack
P,200,335,333,331,312,21,23,0.936936936936937,0.93134328358209,0.934131736526946,0.994029850746269,68.3183183183183,19.9999999999996,296.393233642317,0.003003003003003,Full3C,43,42,Stack
S,50,335,330,326,139,191,196,0.421212121212121,0.414925373134328,0.418045112781955,0.985074626865672,743.272727272727,70.0000000000003,2486.50990650581,0.1,Full3C,43,42,Stack
S,100,335,330,326,192,138,143,0.581818181818182,0.573134328358209,0.577443609022556,0.985074626865672,743.272727272727,70.0000000000003,2486.50990650581,0.1,Full3C,43,42,Stack
S,200,335,330,326,232,98,103,0.703030303030303,0.692537313432836,0.697744360902256,0.985074626865672,743.272727272727,70.0000000000003,2486.50990650581,0.1,Full3C,43,42,Stack
P,50,335,334,333,244,90,91,0.730538922155689,0.728358208955224,0.729446935724963,0.997014925373134,68.2335329341317,19.9999999999996,295.57971051725,0.0029940119760479,Full3C,43,43,Stack
P,100,335,334,333,294,40,41,0.880239520958084,0.877611940298507,0.878923766816143,0.997014925373134,68.2335329341317,19.9999999999996,295.57971051725,0.0029940119760479,Full3C,43,43,Stack
