Method,Mode,Policy,Phase,Tolerance_ms,mean_F1,SD_F1,mean_MAE_ms,SD_MAE_ms,mean_AcceptedCoverage,SD_AcceptedCoverage,mean_MedAE_ms,SD_MedAE_ms,mean_RMSE_ms,SD_RMSE_ms,mean_OutlierRate1s,SD_OutlierRate1s
PhaseNetMatched,Full3C,accepted,P,200,0.9853466378504315,0.0008628263093145197,34.46866844739169,6.3927101098464645,0.998989898989899,0.0017495462702716044,6.666666666666525,5.773502691896135,299.90537215558993,57.009260980928005,0.0030333732461392034,5.317769818454685e-06
PhaseNetMatched,Full3C,accepted,S,50,0.37594615431147765,0.023861514750497435,170.1179883945841,8.284308753342895,0.9939393939393939,0.008017428215347233,80.00000000000007,9.999999999999787,343.7423176206886,68.55390355467561,0.00912812955366147,0.0052165390833832795
PhaseNetMatched,Full3C,accepted,S,100,0.5856856861073289,0.03128829036768158,170.1179883945841,8.284308753342895,0.9939393939393939,0.008017428215347233,80.00000000000007,9.999999999999787,343.7423176206886,68.55390355467561,0.00912812955366147,0.0052165390833832795
PhaseNetMatched,Full3C,accepted,S,200,0.7396461926075382,0.023317245324249763,170.1179883945841,8.284308753342895,0.9939393939393939,0.008017428215347233,80.00000000000007,9.999999999999787,343.7423176206886,68.55390355467561,0.00912812955366147,0.0052165390833832795
PhaseNetMatched,Full3C,strict,P,50,0.9752410294140188,0.002299417530608998,34.46866844739169,6.3927101098464645,0.998989898989899,0.0017495462702716044,6.666666666666525,5.773502691896135,299.90537215558993,57.009260980928005,0.0030333732461392034,5.317769818454685e-06
PhaseNetMatched,Full3C,strict,P,100,0.9833249030517619,0.001515221872468874,34.46866844739169,6.3927101098464645,0.998989898989899,0.0017495462702716044,6.666666666666525,5.773502691896135,299.90537215558993,57.009260980928005,0.0030333732461392034,5.317769818454685e-06
PhaseNetMatched,Full3C,strict,P,200,0.9853466378504315,0.0008628263093145197,34.46866844739169,6.3927101098464645,0.998989898989899,0.0017495462702716044,6.666666666666525,5.773502691896135,299.90537215558993,57.009260980928005,0.0030333732461392034,5.317769818454685e-06
PhaseNetMatched,Full3C,strict,S,50,0.37644538758246393,0.02480402232423003,167.46391412332423,7.814869180022368,0.9858585858585859,0.006308078786261049,80.00000000000007,9.999999999999787,340.46920361346866,70.38874510335613,0.0092058132224085,0.0052695875572048665
PhaseNetMatched,Full3C,strict,S,100,0.5860135255379979,0.030636245192790786,167.46391412332423,7.814869180022368,0.9858585858585859,0.006308078786261049,80.00000000000007,9.999999999999787,340.46920361346866,70.38874510335613,0.0092058132224085,0.0052695875572048665
PhaseNetMatched,Full3C,strict,S,200,0.7395938347665169,0.022992247364754387,167.46391412332423,7.814869180022368,0.9858585858585859,0.006308078786261049,80.00000000000007,9.999999999999787,340.46920361346866,70.38874510335613,0.0092058132224085,0.0052695875572048665
PhaseNetMatched,Zonly,accepted,P,50,0.9732192946153493,0.00913076583393818,25.642933898252885,3.801231470861424,0.998989898989899,0.0017495462702716044,6.666666666666525,5.773502691896135,123.40016284549841,20.798106020744218,0.0030303030303030303,0.0030303030303030303
PhaseNetMatched,Zonly,accepted,P,100,0.9833249030517619,0.0045454779983777035,25.642933898252885,3.801231470861424,0.998989898989899,0.0017495462702716044,6.666666666666525,5.773502691896135,123.40016284549841,20.798106020744218,0.0030303030303030303,0.0030303030303030303
PhaseNetMatched,Zonly,accepted,P,200,0.9833249030517619,0.0045454779983777035,25.642933898252885,3.801231470861424,0.998989898989899,0.0017495462702716044,6.666666666666525,5.773502691896135,123.40016284549841,20.798106020744218,0.0030303030303030303,0.0030303030303030303
PhaseNetMatched,Zonly,accepted,S,50,0.16389926663899265,0.011258463917306172,504.298952831063,86.00554149224477,0.996969696969697,0.0052486388108147495,196.6666666666672,15.275252316518667,1396.978598329226,354.6694274648924,0.08509869335557409,0.005045928999275584
PhaseNetMatched,Zonly,accepted,S,100,0.29947419399474196,0.018041500920815752,504.298952831063,86.00554149224477,0.996969696969697,0.0052486388108147495,196.6666666666672,15.275252316518667,1396.978598329226,354.6694274648924,0.08509869335557409,0.005045928999275584
PhaseNetMatched,Zonly,accepted,S,200,0.5119228817858955,0.020872184042327196,504.298952831063,86.00554149224477,0.996969696969697,0.0052486388108147495,196.6666666666672,15.275252316518667,1396.978598329226,354.6694274648924,0.08509869335557409,0.005045928999275584
PhaseNetMatched,Zonly,strict,P,50,0.9736513539144995,0.00866231809131809,22.609759271514083,4.00512779091365,0.9939393939393939,0.0030303030303029943,6.666666666666525,5.773502691896135,110.58310240676488,15.92116150541197,0.0010131712259371835,0.001754864040090048
PhaseNetMatched,Zonly,strict,P,100,0.983784617651764,0.00490547018966795,22.609759271514083,4.00512779091365,0.9939393939393939,0.0030303030303029943,6.666666666666525,5.773502691896135,110.58310240676488,15.92116150541197,0.0010131712259371835,0.001754864040090048
PhaseNetMatched,Zonly,strict,P,200,0.983784617651764,0.00490547018966795,22.609759271514083,4.00512779091365,0.9939393939393939,0.0030303030303029943,6.666666666666525,5.773502691896135,110.58310240676488,15.92116150541197,0.0010131712259371835,0.001754864040090048
PhaseNetMatched,Zonly,strict,S,50,0.16336608120346477,0.00927600563283233,468.0287966919912,73.26372135662996,0.9787878787878788,0.008017428215347233,193.33333333333292,11.547005383792392,1265.9979694810863,312.00830355234024,0.08150858657803102,0.004160463520514955
PhaseNetMatched,Zonly,strict,S,100,0.30018935224341764,0.015133704174674042,468.0287966919912,73.26372135662996,0.9787878787878788,0.008017428215347233,193.33333333333292,11.547005383792392,1265.9979694810863,312.00830355234024,0.08150858657803102,0.004160463520514955
PhaseNetMatched,Zonly,strict,S,200,0.5115318114043514,0.018189899327042118,468.0287966919912,73.26372135662996,0.9787878787878788,0.008017428215347233,193.33333333333292,11.547005383792392,1265.9979694810863,312.00830355234024,0.08150858657803102,0.004160463520514955
