evaluation,policy,Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
strengthening/base_43/Full3C/Full3C/baselines/mean_ensemble,strict,S,100,330,147,147,30,117,300,0.20408163265306123,0.09090909090909091,0.12578616352201258,0.44545454545454544,4088.503401360544,4080.0,5188.560480898876,0.7619047619047619
strengthening/base_43/Full3C/Full3C/baselines/mean_ensemble,strict,S,200,330,147,147,30,117,300,0.20408163265306123,0.09090909090909091,0.12578616352201258,0.44545454545454544,4088.503401360544,4080.0,5188.560480898876,0.7619047619047619
strengthening/base_43/Full3C/Full3C/baselines/mean_ensemble,unconstrained,P,50,330,330,314,215,115,115,0.6515151515151515,0.6515151515151515,0.6515151515151515,1.0,372.36363636363626,30.00000000000025,2619.7987431376205,0.024242424242424242
strengthening/base_43/Full3C/Full3C/baselines/mean_ensemble,unconstrained,P,100,330,330,314,262,68,68,0.793939393939394,0.793939393939394,0.793939393939394,1.0,372.36363636363626,30.00000000000025,2619.7987431376205,0.024242424242424242
strengthening/base_43/Full3C/Full3C/baselines/mean_ensemble,unconstrained,P,200,330,330,314,287,43,43,0.8696969696969697,0.8696969696969697,0.8696969696969697,1.0,372.36363636363626,30.00000000000025,2619.7987431376205,0.024242424242424242
strengthening/base_43/Full3C/Full3C/baselines/mean_ensemble,unconstrained,S,50,330,330,160,29,301,301,0.08787878787878788,0.08787878787878788,0.08787878787878788,1.0,4409.515151515152,4275.0,5557.56285151008,0.8272727272727273
strengthening/base_43/Full3C/Full3C/baselines/mean_ensemble,unconstrained,S,100,330,330,160,41,289,289,0.12424242424242424,0.12424242424242424,0.12424242424242424,1.0,4409.515151515152,4275.0,5557.56285151008,0.8272727272727273
strengthening/base_43/Full3C/Full3C/baselines/mean_ensemble,unconstrained,S,200,330,330,160,42,288,288,0.12727272727272726,0.12727272727272726,0.12727272727272726,1.0,4409.515151515152,4275.0,5557.56285151008,0.8272727272727273
strengthening/base_43/Full3C/Full3C/baselines/STA,accepted,P,50,330,330,330,71,259,259,0.21515151515151515,0.21515151515151515,0.21515151515151515,1.0,488.6969696969697,110.00000000000031,2844.1894515597296,0.024242424242424242
strengthening/base_43/Full3C/Full3C/baselines/STA,accepted,P,100,330,330,330,151,179,179,0.4575757575757576,0.4575757575757576,0.4575757575757576,1.0,488.6969696969697,110.00000000000031,2844.1894515597296,0.024242424242424242
strengthening/base_43/Full3C/Full3C/baselines/STA,accepted,P,200,330,330,330,260,70,70,0.7878787878787878,0.7878787878787878,0.7878787878787878,1.0,488.6969696969697,110.00000000000031,2844.1894515597296,0.024242424242424242
strengthening/base_43/Full3C/Full3C/baselines/STA,accepted,S,50,330,318,314,2,316,328,0.006289308176100629,0.006060606060606061,0.006172839506172839,0.9636363636363636,4539.276729559749,4265.0,5602.517263296437,0.8773584905660378
strengthening/base_43/Full3C/Full3C/baselines/STA,accepted,S,100,330,318,314,5,313,325,0.015723270440251572,0.015151515151515152,0.015432098765432098,0.9636363636363636,4539.276729559749,4265.0,5602.517263296437,0.8773584905660378
strengthening/base_43/Full3C/Full3C/baselines/STA,accepted,S,200,330,318,314,15,303,315,0.04716981132075472,0.045454545454545456,0.046296296296296294,0.9636363636363636,4539.276729559749,4265.0,5602.517263296437,0.8773584905660378
strengthening/base_43/Full3C/Full3C/baselines/STA,strict,P,50,330,330,330,71,259,259,0.21515151515151515,0.21515151515151515,0.21515151515151515,1.0,488.6969696969697,110.00000000000031,2844.1894515597296,0.024242424242424242
strengthening/base_43/Full3C/Full3C/baselines/STA,strict,P,100,330,330,330,151,179,179,0.4575757575757576,0.4575757575757576,0.4575757575757576,1.0,488.6969696969697,110.00000000000031,2844.1894515597296,0.024242424242424242
strengthening/base_43/Full3C/Full3C/baselines/STA,strict,P,200,330,330,330,260,70,70,0.7878787878787878,0.7878787878787878,0.7878787878787878,1.0,488.6969696969697,110.00000000000031,2844.1894515597296,0.024242424242424242
strengthening/base_43/Full3C/Full3C/baselines/STA,strict,S,50,330,314,314,2,312,328,0.006369426751592357,0.006060606060606061,0.006211180124223602,0.9515151515151515,4516.401273885351,4265.0,5571.732311894929,0.8789808917197452
strengthening/base_43/Full3C/Full3C/baselines/STA,strict,S,100,330,314,314,5,309,325,0.01592356687898089,0.015151515151515152,0.015527950310559006,0.9515151515151515,4516.401273885351,4265.0,5571.732311894929,0.8789808917197452
strengthening/base_43/Full3C/Full3C/baselines/STA,strict,S,200,330,314,314,15,299,315,0.04777070063694268,0.045454545454545456,0.046583850931677016,0.9515151515151515,4516.401273885351,4265.0,5571.732311894929,0.8789808917197452
strengthening/base_43/Full3C/Full3C/baselines/STA,unconstrained,P,50,330,330,330,71,259,259,0.21515151515151515,0.21515151515151515,0.21515151515151515,1.0,488.6969696969697,110.00000000000031,2844.1894515597296,0.024242424242424242
strengthening/base_43/Full3C/Full3C/baselines/STA,unconstrained,P,100,330,330,330,151,179,179,0.4575757575757576,0.4575757575757576,0.4575757575757576,1.0,488.6969696969697,110.00000000000031,2844.1894515597296,0.024242424242424242
strengthening/base_43/Full3C/Full3C/baselines/STA,unconstrained,P,200,330,330,330,260,70,70,0.7878787878787878,0.7878787878787878,0.7878787878787878,1.0,488.6969696969697,110.00000000000031,2844.1894515597296,0.024242424242424242
strengthening/base_43/Full3C/Full3C/baselines/STA,unconstrained,S,50,330,330,330,2,328,328,0.006060606060606061,0.006060606060606061,0.006060606060606061,1.0,4827.30303030303,4405.0,6272.714819926155,0.8909090909090909
strengthening/base_43/Full3C/Full3C/baselines/STA,unconstrained,S,100,330,330,330,5,325,325,0.015151515151515152,0.015151515151515152,0.015151515151515152,1.0,4827.30303030303,4405.0,6272.714819926155,0.8909090909090909
strengthening/base_43/Full3C/Full3C/baselines/STA,unconstrained,S,200,330,330,330,16,314,314,0.048484848484848485,0.048484848484848485,0.048484848484848485,1.0,4827.30303030303,4405.0,6272.714819926155,0.8909090909090909
strengthening/base_43/Full3C/Full3C/baselines/TCN,accepted,P,50,330,323,311,226,97,104,0.6996904024767802,0.6848484848484848,0.6921898928024502,0.9787878787878788,129.6284829721361,20.000000000000018,651.8725112304037,0.01238390092879257
strengthening/base_43/Full3C/Full3C/baselines/TCN,accepted,P,100,330,323,311,269,54,61,0.8328173374613003,0.8151515151515152,0.8238897396630934,0.9787878787878788,129.6284829721361,20.000000000000018,651.8725112304037,0.01238390092879257
strengthening/base_43/Full3C/Full3C/baselines/TCN,accepted,P,200,330,323,311,294,29,36,0.9102167182662538,0.8909090909090909,0.900459418070444,0.9787878787878788,129.6284829721361,20.000000000000018,651.8725112304037,0.01238390092879257
strengthening/base_43/Full3C/Full3C/baselines/TCN,accepted,S,50,330,270,198,106,164,224,0.3925925925925926,0.3212121212121212,0.35333333333333333,0.8181818181818182,527.8518518518518,80.00000000000007,1653.4027763194124,0.08148148148148149
strengthening/base_43/Full3C/Full3C/baselines/TCN,accepted,S,100,330,270,198,151,119,179,0.5592592592592592,0.4575757575757576,0.5033333333333333,0.8181818181818182,527.8518518518518,80.00000000000007,1653.4027763194124,0.08148148148148149
strengthening/base_43/Full3C/Full3C/baselines/TCN,accepted,S,200,330,270,198,198,72,132,0.7333333333333333,0.6,0.66,0.8181818181818182,527.8518518518518,80.00000000000007,1653.4027763194124,0.08148148148148149
strengthening/base_43/Full3C/Full3C/baselines/TCN,strict,P,50,330,311,311,223,88,107,0.7170418006430869,0.6757575757575758,0.6957878315132605,0.9424242424242424,126.88102893890665,19.999999999999574,661.4516822673268,0.012861736334405145
strengthening/base_43/Full3C/Full3C/baselines/TCN,strict,P,100,330,311,311,262,49,68,0.842443729903537,0.793939393939394,0.8174726989079563,0.9424242424242424,126.88102893890665,19.999999999999574,661.4516822673268,0.012861736334405145
strengthening/base_43/Full3C/Full3C/baselines/TCN,strict,P,200,330,311,311,285,26,45,0.9163987138263665,0.8636363636363636,0.8892355694227769,0.9424242424242424,126.88102893890665,19.999999999999574,661.4516822673268,0.012861736334405145
strengthening/base_43/Full3C/Full3C/baselines/TCN,strict,S,50,330,198,198,96,102,234,0.48484848484848486,0.2909090909090909,0.36363636363636365,0.6,217.27272727272722,60.00000000000006,854.7147908731741,0.025252525252525252
strengthening/base_43/Full3C/Full3C/baselines/TCN,strict,S,100,330,198,198,130,68,200,0.6565656565656566,0.3939393939393939,0.49242424242424243,0.6,217.27272727272722,60.00000000000006,854.7147908731741,0.025252525252525252
strengthening/base_43/Full3C/Full3C/baselines/TCN,strict,S,200,330,198,198,164,34,166,0.8282828282828283,0.49696969696969695,0.6212121212121212,0.6,217.27272727272722,60.00000000000006,854.7147908731741,0.025252525252525252
strengthening/base_43/Full3C/Full3C/baselines/TCN,unconstrained,P,50,330,323,311,226,97,104,0.6996904024767802,0.6848484848484848,0.6921898928024502,0.9787878787878788,129.6284829721361,20.000000000000018,651.8725112304037,0.01238390092879257
strengthening/base_43/Full3C/Full3C/baselines/TCN,unconstrained,P,100,330,323,311,269,54,61,0.8328173374613003,0.8151515151515152,0.8238897396630934,0.9787878787878788,129.6284829721361,20.000000000000018,651.8725112304037,0.01238390092879257
strengthening/base_43/Full3C/Full3C/baselines/TCN,unconstrained,P,200,330,323,311,294,29,36,0.9102167182662538,0.8909090909090909,0.900459418070444,0.9787878787878788,129.6284829721361,20.000000000000018,651.8725112304037,0.01238390092879257
