Method,Mode,Policy,Phase,Tolerance_ms,BaseSeed,F1,MAE_ms,AcceptedCoverage,MedAE_ms,RMSE_ms,OutlierRate1s,meta_F1_SD
Stack,Zonly,accepted,S,200,42,0.41758880793266523,1180.404688404399,0.9,246.66666666666674,2566.8119090675505,0.21608693255422948,0.016732439898578994
Stack,Zonly,accepted,S,200,43,0.41116749099998934,1332.6091179241864,0.9161616161616162,263.33333333333337,3084.788626475158,0.2289628180039139,0.0014823870656570145
Stack,Zonly,accepted,S,200,44,0.44247124824232104,1005.8098549181933,0.9454545454545454,251.66666666666723,2299.36127109663,0.18066465893611358,0.01982273857094883
Stack,Zonly,strict,P,50,42,0.6758639968789216,144.91547486390962,0.9787878787878788,30.00000000000025,752.2139689088306,0.013406947583787264,0.00839040821371911
Stack,Zonly,strict,P,50,43,0.6986367320432475,183.16024810901453,0.9808080808080808,29.999999999999954,1182.2778521335938,0.014403723050899967,0.01464952366854869
Stack,Zonly,strict,P,50,44,0.7113885130823524,127.49050406579336,0.9737373737373737,29.999999999999655,638.6298110493069,0.012435863862351876,0.009848141284293085
Stack,Zonly,strict,P,100,42,0.8044993203670976,144.91547486390962,0.9787878787878788,30.00000000000025,752.2139689088306,0.013406947583787264,0.0031597252351462913
Stack,Zonly,strict,P,100,43,0.8138713005357394,183.16024810901453,0.9808080808080808,29.999999999999954,1182.2778521335938,0.014403723050899967,0.002160236785630302
Stack,Zonly,strict,P,100,44,0.8239399070871901,127.49050406579336,0.9737373737373737,29.999999999999655,638.6298110493069,0.012435863862351876,0.004198417045701
Stack,Zonly,strict,P,200,42,0.8933039360785737,144.91547486390962,0.9787878787878788,30.00000000000025,752.2139689088306,0.013406947583787264,0.004721129738180004
Stack,Zonly,strict,P,200,43,0.9056664922853251,183.16024810901453,0.9808080808080808,29.999999999999954,1182.2778521335938,0.014403723050899967,0.0028802364350705924
Stack,Zonly,strict,P,200,44,0.9068511095036551,127.49050406579336,0.9737373737373737,29.999999999999655,638.6298110493069,0.012435863862351876,0.002195663184431258
Stack,Zonly,strict,S,50,42,0.1575309237351284,871.3060846032981,0.6454545454545455,198.33333333333266,2096.111408264172,0.16104670996311865,0.01778087617644818
Stack,Zonly,strict,S,50,43,0.13146434452133934,1264.030939183732,0.7181818181818181,216.6666666666665,3195.1562914616397,0.1966090256342173,0.013104896454078231
Stack,Zonly,strict,S,50,44,0.14673191745846229,893.5240280139833,0.7606060606060606,211.66666666666632,2105.7021752472037,0.16077924225245654,0.022810586847715694
Stack,Zonly,strict,S,100,42,0.26060278468506937,871.3060846032981,0.6454545454545455,198.33333333333266,2096.111408264172,0.16104670996311865,0.013043709170934925
Stack,Zonly,strict,S,100,43,0.2446080574577984,1264.030939183732,0.7181818181818181,216.6666666666665,3195.1562914616397,0.1966090256342173,0.002741228715698306
Stack,Zonly,strict,S,100,44,0.266194096458919,893.5240280139833,0.7606060606060606,211.66666666666632,2105.7021752472037,0.16077924225245654,0.007613083104279022
Stack,Zonly,strict,S,200,42,0.3854074464789558,871.3060846032981,0.6454545454545455,198.33333333333266,2096.111408264172,0.16104670996311865,0.030623939484947658
Stack,Zonly,strict,S,200,43,0.39861267115153126,1264.030939183732,0.7181818181818181,216.6666666666665,3195.1562914616397,0.1966090256342173,0.001381727060669107
Stack,Zonly,strict,S,200,44,0.42921093761553125,893.5240280139833,0.7606060606060606,211.66666666666632,2105.7021752472037,0.16077924225245654,0.01141830555712985
