peak_threshold,quality_threshold,max_SP_seconds,Policy,Phase,Tolerance_ms,Method,Mode,BaseSeed,MetaSeed,N,N_accepted,TP,F1,Coverage,MAE_ms
0.4,4,20,accepted,P,100,Stack,Zonly,44,44,330,326,269,0.8201219512195121,0.9878787878787879,159.90797546012257
0.4,4,20,accepted,P,100,PhaseNetMatched,Full3C,42,,330,330,324,0.9818181818181818,1.0,41.09090909090887
0.4,4,20,accepted,P,100,PhaseNetMatched,Full3C,43,,330,330,325,0.9848484848484849,1.0,28.33333333333328
0.4,4,20,accepted,P,100,PhaseNetMatched,Full3C,44,,330,329,324,0.9833080424886191,0.996969696969697,33.98176291793293
0.4,4,20,accepted,P,100,PhaseNetMatched,Zonly,42,,330,330,326,0.9878787878787879,1.0,21.48484848484837
0.4,4,20,accepted,P,100,PhaseNetMatched,Zonly,43,,330,329,324,0.9833080424886191,0.996969696969697,26.504559270516463
0.4,4,20,accepted,P,100,PhaseNetMatched,Zonly,44,,330,329,323,0.9802731411229135,0.996969696969697,25.805471124619938
0.4,4,20,accepted,P,100,Stack,Full3C,42,42,330,325,276,0.8427480916030534,0.9848484848484849,126.15384615384602
0.4,4,20,accepted,P,100,Stack,Full3C,42,43,330,323,271,0.8300153139356815,0.9787878787878788,127.02786377708969
0.4,4,20,accepted,P,100,Stack,Full3C,42,44,330,329,271,0.8224582701062215,0.996969696969697,291.88449848024305
0.4,4,20,accepted,P,100,Stack,Zonly,42,42,330,328,264,0.8024316109422492,0.9939393939393939,169.54268292682917
0.4,4,20,accepted,P,100,Stack,Zonly,42,43,330,323,264,0.8085758039816233,0.9787878787878788,132.01238390092865
0.4,4,20,accepted,P,100,Stack,Zonly,42,44,330,324,264,0.8073394495412844,0.9818181818181818,133.36419753086412
0.4,4,20,accepted,S,100,Stack,Full3C,43,42,330,315,183,0.5674418604651162,0.9545454545454546,475.77777777777777
0.4,4,20,accepted,S,100,Stack,Full3C,43,43,330,318,185,0.5709876543209876,0.9636363636363636,569.559748427673
0.4,4,20,accepted,S,100,Stack,Full3C,43,44,330,321,185,0.5683563748079877,0.9727272727272728,540.0311526479751
0.4,4,20,accepted,S,100,Stack,Zonly,43,42,330,297,79,0.25199362041467305,0.9,1153.8383838383838
0.4,4,20,accepted,S,100,Stack,Zonly,43,43,330,279,76,0.24958949096880131,0.8454545454545455,1043.9068100358422
0.4,4,20,accepted,S,100,Stack,Zonly,43,44,330,267,75,0.25125628140703515,0.8090909090909091,1036.0674157303372
0.4,4,20,accepted,S,100,Stack,Full3C,44,42,330,323,178,0.5451761102603369,0.9787878787878788,505.75851393188856
0.4,4,20,accepted,S,100,Stack,Full3C,44,43,330,315,181,0.5612403100775194,0.9545454545454546,529.2698412698413
0.4,4,20,accepted,S,100,Stack,Full3C,44,44,330,324,175,0.5351681957186545,0.9818181818181818,557.3148148148148
0.4,4,20,accepted,S,100,Stack,Zonly,44,42,330,291,90,0.2898550724637681,0.8818181818181818,920.9621993127148
0.4,4,20,accepted,S,100,Stack,Zonly,44,43,330,291,83,0.2673107890499195,0.8818181818181818,974.9828178694158
0.4,4,20,accepted,S,100,Stack,Zonly,44,44,330,296,82,0.26198083067092653,0.896969696969697,991.6216216216217
0.4,4,20,accepted,S,100,PhaseNetMatched,Full3C,42,,330,329,191,0.5796661608497724,0.996969696969697,177.62917933130697
0.4,4,20,accepted,S,100,PhaseNetMatched,Full3C,43,,330,325,203,0.6198473282442748,0.9848484848484849,163.99999999999997
0.4,4,20,accepted,S,100,PhaseNetMatched,Full3C,44,,330,328,184,0.5592705167173252,0.9939393939393939,165.85365853658533
0.4,4,20,accepted,S,100,PhaseNetMatched,Zonly,42,,330,330,97,0.29393939393939394,1.0,602.4242424242424
