peak_threshold,quality_threshold,max_SP_seconds,Policy,Phase,Tolerance_ms,Comparison,F1_A,F1_B,Delta,CI_low,CI_high
0.2,2,30,accepted,P,100,Stack minus PhaseNet Full3C,0.825579501271277,0.9833249030517619,-0.1577454017804849,-0.20464706651232895,-0.11333591161641002
0.2,2,30,accepted,P,100,Stack minus PhaseNet Zonly,0.812886639536541,0.9833249030517619,-0.17043826351522096,-0.21819260909515636,-0.1246349401017393
0.2,2,30,accepted,S,100,Stack Full3C minus Zonly,0.5519063177015925,0.2680450254924985,0.283861292209094,0.22876178427678695,0.3400227862909307
0.2,2,30,accepted,S,100,PhaseNet Full3C minus Zonly,0.5856856861073289,0.2993122716526972,0.28637341445463166,0.23449187717065242,0.33835697577514257
0.2,2,30,accepted,S,100,Stack minus PhaseNet Full3C,0.5519063177015925,0.5856856861073289,-0.033779368405736365,-0.07380232138940808,0.005103137401663411
0.2,2,30,accepted,S,100,Stack minus PhaseNet Zonly,0.2680450254924985,0.2993122716526972,-0.031267246160198714,-0.06655860491659439,0.004254468897269279
0.2,2,30,strict,P,100,Stack Full3C minus Zonly,0.82890972034398,0.8133559842335243,0.01555373611045574,0.0005372598436446807,0.03155322364787175
0.2,2,30,strict,P,100,PhaseNet Full3C minus Zonly,0.9833249030517619,0.9838199904967736,-0.0004950874450116993,-0.010536561308896197,0.010527766233723895
0.2,2,30,strict,P,100,Stack minus PhaseNet Full3C,0.82890972034398,0.9833249030517619,-0.15441518270778187,-0.20118472165022716,-0.11056975051656216
0.2,2,30,strict,P,100,Stack minus PhaseNet Zonly,0.8133559842335243,0.9838199904967736,-0.1704640062632493,-0.21836337357083477,-0.12465980670347747
0.2,2,30,strict,S,100,Stack Full3C minus Zonly,0.5537404351874149,0.26819660548885693,0.28554382969855796,0.22925353096667594,0.3429192051383924
0.2,2,30,strict,S,100,PhaseNet Full3C minus Zonly,0.5862613352704574,0.29878171023209193,0.2874796250383655,0.23560977834968916,0.33933862569565554
0.2,2,30,strict,S,100,Stack minus PhaseNet Full3C,0.5537404351874149,0.5862613352704574,-0.03252090008304254,-0.07251490945279504,0.006264405655614286
0.2,2,30,strict,S,100,Stack minus PhaseNet Zonly,0.26819660548885693,0.29878171023209193,-0.030585104743235003,-0.06552883866934442,0.00511603746410698
0.2,2,40,accepted,P,100,Stack Full3C minus Zonly,0.825579501271277,0.812886639536541,0.01269286173473605,-0.002422920309691981,0.028964977936643557
0.2,2,40,accepted,P,100,PhaseNet Full3C minus Zonly,0.9833249030517619,0.9833249030517619,0.0,-0.010175032942989937,0.011200849219318576
0.2,2,40,accepted,P,100,Stack minus PhaseNet Full3C,0.825579501271277,0.9833249030517619,-0.1577454017804849,-0.20464706651232895,-0.11333591161641002
0.2,2,40,accepted,P,100,Stack minus PhaseNet Zonly,0.812886639536541,0.9833249030517619,-0.17043826351522096,-0.21819260909515636,-0.1246349401017393
0.2,2,40,accepted,S,100,Stack Full3C minus Zonly,0.5519063177015925,0.2677057549242203,0.2842005627773722,0.22917616848672684,0.34031686391862437
0.2,2,40,accepted,S,100,PhaseNet Full3C minus Zonly,0.5856856861073289,0.2993122716526972,0.28637341445463166,0.23449187717065242,0.33835697577514257
0.2,2,40,accepted,S,100,Stack minus PhaseNet Full3C,0.5519063177015925,0.5856856861073289,-0.033779368405736365,-0.07380232138940808,0.005103137401663411
0.2,2,40,accepted,S,100,Stack minus PhaseNet Zonly,0.2677057549242203,0.2993122716526972,-0.03160651672847692,-0.06677186461109068,0.003874177786515135
