peak_threshold,quality_threshold,max_SP_seconds,Policy,Phase,Tolerance_ms,Method,Mode,mean_F1,between_base_SD_F1,mean_Coverage,between_base_SD_Coverage,mean_MAE_ms,between_base_SD_MAE_ms
0.3,2,20,accepted,S,100,PhaseNetMatched,Full3C,0.5856856861073289,0.03128829036768158,0.9939393939393939,0.008017428215347233,170.1179883945841,8.284308753342895
0.3,2,20,accepted,S,100,PhaseNetMatched,Zonly,0.29947419399474196,0.018041500920815752,0.996969696969697,0.0052486388108147495,504.298952831063,86.00554149224469
0.3,2,20,strict,P,100,Stack,Full3C,0.8306437210611382,0.005851924608008049,0.978114478114478,0.002102692928753683,118.99598940655007,14.025446653543975
0.3,2,20,strict,P,100,Stack,Zonly,0.8141035093300091,0.009722373357285841,0.9777777777777777,0.003641970985317184,151.85540901290582,28.47634307550292
0.3,2,20,strict,P,100,PhaseNetMatched,Full3C,0.9833249030517619,0.001515221872468874,0.998989898989899,0.0017495462702716044,34.46866844739169,6.39271010984647
0.3,2,20,strict,P,100,PhaseNetMatched,Zonly,0.983784617651764,0.00490547018966795,0.9939393939393939,0.0030303030303029943,22.60975927151408,4.005127790913652
0.3,2,20,strict,S,100,Stack,Full3C,0.5567343966997267,0.010702194703811233,0.9451178451178451,0.008825146412175858,483.8910420141973,11.32912504836335
0.3,2,20,strict,S,100,Stack,Zonly,0.2573325499965353,0.010980529899478257,0.7067340067340068,0.058536493773446815,924.9253763018617,91.61873431031368
0.3,2,20,strict,S,100,PhaseNetMatched,Full3C,0.5860135255379979,0.030636245192790786,0.9858585858585859,0.006308078786261049,167.46391412332423,7.814869180022365
0.3,2,20,strict,S,100,PhaseNetMatched,Zonly,0.30018935224341764,0.015133704174674042,0.9787878787878788,0.008017428215347233,468.02879669199115,73.26372135662999
0.3,2,30,accepted,P,100,Stack,Full3C,0.8268024813560109,0.006942314904482195,0.9905723905723907,0.0015429547794464206,166.6244186727153,32.31898387311963
0.3,2,30,accepted,P,100,Stack,Zonly,0.8133945291974217,0.007298712166757752,0.9902356902356902,0.002102692928753683,178.3012908122193,28.57013031486391
0.3,2,30,accepted,P,100,PhaseNetMatched,Full3C,0.9833249030517619,0.001515221872468874,0.998989898989899,0.0017495462702716044,34.46866844739169,6.39271010984647
0.3,2,30,accepted,P,100,PhaseNetMatched,Zonly,0.9833249030517619,0.0045454779983777035,0.998989898989899,0.0017495462702716044,25.642933898252885,3.801231470861424
0.3,2,30,accepted,S,100,Stack,Full3C,0.5536385548344082,0.012659033460239073,0.9801346801346801,0.005563202573016301,610.2932352651823,49.96569401126754
0.3,2,30,accepted,S,100,Stack,Zonly,0.26861536601170466,0.015246310948536701,0.9205387205387205,0.023041228432223042,1172.9412204155929,163.52741999777902
0.3,2,30,accepted,S,100,PhaseNetMatched,Full3C,0.5856856861073289,0.03128829036768158,0.9939393939393939,0.008017428215347233,170.1179883945841,8.284308753342895
