Method,Mode,BaseSeed,MetaSeed,Policy,Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
Stack,Full3C,42,44,strict,P,200,335,334,334,308,26,27,0.9221556886227545,0.9194029850746268,0.9207772795216741,0.9970149253731343,72.69461077844302,19.999999999999574,297.8073564519289,0.0029940119760479044
Stack,Full3C,42,44,strict,S,50,335,309,309,140,169,195,0.45307443365695793,0.417910447761194,0.43478260869565216,0.9223880597014925,591.8770226537217,70.00000000000028,2047.5010421973789,0.0744336569579288
Stack,Full3C,42,44,strict,S,100,335,309,309,182,127,153,0.5889967637540453,0.5432835820895522,0.5652173913043478,0.9223880597014925,591.8770226537217,70.00000000000028,2047.5010421973789,0.0744336569579288
Stack,Full3C,42,44,strict,S,200,335,309,309,221,88,114,0.7152103559870551,0.6597014925373135,0.6863354037267081,0.9223880597014925,591.8770226537217,70.00000000000028,2047.5010421973789,0.0744336569579288
Stack,Full3C,43,42,accepted,P,50,335,333,331,246,87,89,0.7387387387387387,0.7343283582089553,0.7365269461077845,0.9940298507462687,68.31831831831823,19.999999999999574,296.3932336423167,0.003003003003003003
Stack,Full3C,43,42,accepted,P,100,335,333,331,293,40,42,0.8798798798798799,0.8746268656716418,0.8772455089820359,0.9940298507462687,68.31831831831823,19.999999999999574,296.3932336423167,0.003003003003003003
Stack,Full3C,43,42,accepted,P,200,335,333,331,312,21,23,0.9369369369369369,0.9313432835820895,0.9341317365269461,0.9940298507462687,68.31831831831823,19.999999999999574,296.3932336423167,0.003003003003003003
Stack,Full3C,43,42,accepted,S,50,335,330,326,139,191,196,0.4212121212121212,0.41492537313432837,0.4180451127819549,0.9850746268656716,743.2727272727273,70.00000000000028,2486.5099065058066,0.1
Stack,Full3C,43,42,accepted,S,100,335,330,326,192,138,143,0.5818181818181818,0.573134328358209,0.5774436090225564,0.9850746268656716,743.2727272727273,70.00000000000028,2486.5099065058066,0.1
Stack,Full3C,43,42,accepted,S,200,335,330,326,232,98,103,0.703030303030303,0.6925373134328359,0.6977443609022557,0.9850746268656716,743.2727272727273,70.00000000000028,2486.5099065058066,0.1
Stack,Full3C,43,42,strict,P,50,335,331,331,246,85,89,0.743202416918429,0.7343283582089553,0.7387387387387387,0.9880597014925373,68.27794561933526,19.999999999999574,297.22990989358294,0.0030211480362537764
Stack,Full3C,43,42,strict,P,100,335,331,331,291,40,44,0.879154078549849,0.8686567164179104,0.8738738738738738,0.9880597014925373,68.27794561933526,19.999999999999574,297.22990989358294,0.0030211480362537764
Stack,Full3C,43,42,strict,P,200,335,331,331,310,21,25,0.9365558912386707,0.9253731343283582,0.9309309309309309,0.9880597014925373,68.27794561933526,19.999999999999574,297.22990989358294,0.0030211480362537764
Stack,Full3C,43,42,strict,S,50,335,326,326,137,189,198,0.42024539877300615,0.408955223880597,0.4145234493192133,0.9731343283582089,675.4907975460122,70.00000000000028,2279.4311662600808,0.0950920245398773
Stack,Full3C,43,42,strict,S,100,335,326,326,190,136,145,0.5828220858895705,0.5671641791044776,0.5748865355521936,0.9731343283582089,675.4907975460122,70.00000000000028,2279.4311662600808,0.0950920245398773
Stack,Full3C,43,42,strict,S,200,335,326,326,230,96,105,0.7055214723926381,0.6865671641791045,0.6959152798789713,0.9731343283582089,675.4907975460122,70.00000000000028,2279.4311662600808,0.0950920245398773
Stack,Full3C,43,43,accepted,P,50,335,334,333,244,90,91,0.7305389221556886,0.7283582089552239,0.7294469357249627,0.9970149253731343,68.23353293413165,19.999999999999574,295.5797105172496,0.0029940119760479044
Stack,Full3C,43,43,accepted,P,100,335,334,333,294,40,41,0.8802395209580839,0.8776119402985074,0.8789237668161435,0.9970149253731343,68.23353293413165,19.999999999999574,295.5797105172496,0.0029940119760479044
Stack,Full3C,43,43,accepted,P,200,335,334,333,312,22,23,0.9341317365269461,0.9313432835820895,0.9327354260089686,0.9970149253731343,68.23353293413165,19.999999999999574,295.5797105172496,0.0029940119760479044
Stack,Full3C,43,43,accepted,S,50,335,331,323,146,185,189,0.44108761329305135,0.43582089552238806,0.43843843843843844,0.9880597014925373,723.2326283987916,69.99999999999851,2324.8447305461145,0.09969788519637462
Stack,Full3C,43,43,accepted,S,100,335,331,323,193,138,142,0.5830815709969789,0.5761194029850746,0.5795795795795796,0.9880597014925373,723.2326283987916,69.99999999999851,2324.8447305461145,0.09969788519637462
Stack,Full3C,43,43,accepted,S,200,335,331,323,234,97,101,0.7069486404833837,0.6985074626865672,0.7027027027027027,0.9880597014925373,723.2326283987916,69.99999999999851,2324.8447305461145,0.09969788519637462
Stack,Full3C,43,43,strict,P,50,335,333,333,243,90,92,0.7297297297297297,0.7253731343283583,0.7275449101796407,0.9940298507462687,68.37837837837829,19.999999999999574,296.0211622984555,0.003003003003003003
Stack,Full3C,43,43,strict,P,100,335,333,333,293,40,42,0.8798798798798799,0.8746268656716418,0.8772455089820359,0.9940298507462687,68.37837837837829,19.999999999999574,296.0211622984555,0.003003003003003003
Stack,Full3C,43,43,strict,P,200,335,333,333,311,22,24,0.933933933933934,0.9283582089552239,0.9311377245508982,0.9940298507462687,68.37837837837829,19.999999999999574,296.0211622984555,0.003003003003003003
Stack,Full3C,43,43,strict,S,50,335,323,323,144,179,191,0.4458204334365325,0.4298507462686567,0.4376899696048632,0.9641791044776119,587.3684210526316,69.99999999999851,1891.5353241092118,0.08668730650154799
Stack,Full3C,43,43,strict,S,100,335,323,323,190,133,145,0.5882352941176471,0.5671641791044776,0.5775075987841946,0.9641791044776119,587.3684210526316,69.99999999999851,1891.5353241092118,0.08668730650154799
Stack,Full3C,43,43,strict,S,200,335,323,323,231,92,104,0.7151702786377709,0.6895522388059702,0.7021276595744681,0.9641791044776119,587.3684210526316,69.99999999999851,1891.5353241092118,0.08668730650154799
Stack,Full3C,43,44,accepted,P,50,335,333,331,243,90,92,0.7297297297297297,0.7253731343283583,0.7275449101796407,0.9940298507462687,69.45945945945937,19.999999999999574,297.10868983180814,0.003003003003003003
Stack,Full3C,43,44,accepted,P,100,335,333,331,293,40,42,0.8798798798798799,0.8746268656716418,0.8772455089820359,0.9940298507462687,69.45945945945937,19.999999999999574,297.10868983180814,0.003003003003003003
Stack,Full3C,43,44,accepted,P,200,335,333,331,312,21,23,0.9369369369369369,0.9313432835820895,0.9341317365269461,0.9940298507462687,69.45945945945937,19.999999999999574,297.10868983180814,0.003003003003003003
Stack,Full3C,43,44,accepted,S,50,335,331,318,138,193,197,0.4169184290030212,0.41194029850746267,0.4144144144144144,0.9880597014925373,717.8247734138973,70.00000000000028,2189.4123147520468,0.10574018126888217
