Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s,Mode,BaseSeed,MetaSeed,Method
P,100,330,328,326,264,64,66,0.804878048780488,0.8,0.802431610942249,0.993939393939394,169.542682926829,30.0000000000002,947.777084782611,0.0152439024390244,Zonly,42,42,Stack
P,200,330,328,326,295,33,35,0.899390243902439,0.893939393939394,0.896656534954407,0.993939393939394,169.542682926829,30.0000000000002,947.777084782611,0.0152439024390244,Zonly,42,42,Stack
S,50,330,315,247,54,261,276,0.171428571428571,0.163636363636364,0.167441860465116,0.954545454545455,1170,250,2532.54292180679,0.228571428571429,Zonly,42,42,Stack
S,100,330,315,247,90,225,240,0.285714285714286,0.272727272727273,0.27906976744186,0.954545454545455,1170,250,2532.54292180679,0.228571428571429,Zonly,42,42,Stack
S,200,330,315,247,140,175,190,0.444444444444444,0.424242424242424,0.434108527131783,0.954545454545455,1170,250,2532.54292180679,0.228571428571429,Zonly,42,42,Stack
P,50,330,324,321,225,99,105,0.694444444444444,0.681818181818182,0.688073394495413,0.981818181818182,131.635802469136,30.0000000000002,649.871544762008,0.0123456790123457,Zonly,42,43,Stack
P,100,330,324,321,265,59,65,0.817901234567901,0.803030303030303,0.81039755351682,0.981818181818182,131.635802469136,30.0000000000002,649.871544762008,0.0123456790123457,Zonly,42,43,Stack
P,200,330,324,321,292,32,38,0.901234567901235,0.884848484848485,0.892966360856269,0.981818181818182,131.635802469136,30.0000000000002,649.871544762008,0.0123456790123457,Zonly,42,43,Stack
S,50,330,292,222,49,243,281,0.167808219178082,0.148484848484848,0.157556270096463,0.884848484848485,1220.65068493151,240,2599.77284308003,0.226027397260274,Zonly,42,43,Stack
S,100,330,292,222,87,205,243,0.297945205479452,0.263636363636364,0.279742765273312,0.884848484848485,1220.65068493151,240,2599.77284308003,0.226027397260274,Zonly,42,43,Stack
S,200,330,292,222,130,162,200,0.445205479452055,0.393939393939394,0.418006430868167,0.884848484848485,1220.65068493151,240,2599.77284308003,0.226027397260274,Zonly,42,43,Stack
P,50,330,326,322,220,106,110,0.674846625766871,0.666666666666667,0.670731707317073,0.987878787878788,134.877300613497,30.0000000000002,650.564408094813,0.0122699386503067,Zonly,42,44,Stack
P,100,330,326,322,264,62,66,0.809815950920245,0.8,0.804878048780488,0.987878787878788,134.877300613497,30.0000000000002,650.564408094813,0.0122699386503067,Zonly,42,44,Stack
P,200,330,326,322,295,31,35,0.904907975460123,0.893939393939394,0.899390243902439,0.987878787878788,134.877300613497,30.0000000000002,650.564408094813,0.0122699386503067,Zonly,42,44,Stack
S,50,330,284,170,56,228,274,0.197183098591549,0.16969696969697,0.182410423452769,0.860606060606061,1150.56338028169,250,2568.11996231583,0.193661971830986,Zonly,42,44,Stack
S,100,330,284,170,88,196,242,0.309859154929577,0.266666666666667,0.286644951140065,0.860606060606061,1150.56338028169,250,2568.11996231583,0.193661971830986,Zonly,42,44,Stack
S,200,330,284,170,123,161,207,0.433098591549296,0.372727272727273,0.400651465798046,0.860606060606061,1150.56338028169,250,2568.11996231583,0.193661971830986,Zonly,42,44,Stack
P,50,330,327,321,230,97,100,0.703363914373089,0.696969696969697,0.700152207001522,0.990909090909091,129.174311926605,29.9999999999998,648.047644263502,0.0122324159021407,Full3C,43,42,Stack
P,100,330,327,321,275,52,55,0.840978593272171,0.833333333333333,0.837138508371385,0.990909090909091,129.174311926605,29.9999999999998,648.047644263502,0.0122324159021407,Full3C,43,42,Stack
P,200,330,327,321,299,28,31,0.914373088685015,0.906060606060606,0.910197869101979,0.990909090909091,129.174311926605,29.9999999999998,648.047644263502,0.0122324159021407,Full3C,43,42,Stack
