subset,Policy,Phase,Comparison,N,N_sources,F1_A,F1_B,Delta,CI_low,CI_high,bootstrap_draws
historical_test_records,strict,P,Stack Full3C minus Zonly,51,48,0.7858085808580858,0.7517051705170518,0.034103410341034035,0.0064102564102563875,0.07019970063601397,10000
historical_test_records,strict,P,PhaseNet Full3C minus Zonly,51,48,0.9934640522875817,0.9868633922215752,0.0066006600660065695,0.0,0.021052631578947434,10000
historical_test_records,strict,P,Stack minus PhaseNet Full3C,51,48,0.7858085808580858,0.9934640522875817,-0.20765547142949592,-0.32782714090096676,-0.09825028221254639,10000
historical_test_records,strict,P,Stack minus PhaseNet Zonly,51,48,0.7517051705170518,0.9868633922215752,-0.23515822170452338,-0.36321043771043776,-0.11857074760241602,10000
historical_test_records,strict,S,Stack Full3C minus Zonly,51,48,0.5113398614331359,0.2856948084137356,0.2256450530194003,0.0894944045382131,0.3612280465575535,10000
historical_test_records,strict,S,PhaseNet Full3C minus Zonly,51,48,0.5297689768976898,0.30648731539820645,0.2232816614994833,0.1008175589516435,0.3519146384653711,10000
historical_test_records,strict,S,Stack minus PhaseNet Full3C,51,48,0.5113398614331359,0.5297689768976898,-0.018429115464553836,-0.12227648326241533,0.08309468107357505,10000
historical_test_records,strict,S,Stack minus PhaseNet Zonly,51,48,0.2856948084137356,0.30648731539820645,-0.020792506984470827,-0.12034583209925385,0.07489683570964932,10000
sources_without_historical_train_val,accepted,P,Stack Full3C minus Zonly,26,25,0.702865761689291,0.7063516004692475,-0.0034858387799564516,-0.022309634809634778,0.012820512820512886,10000
sources_without_historical_train_val,accepted,P,PhaseNet Full3C minus Zonly,26,25,0.9871794871794872,0.9678230266465561,0.019356460532931163,0.0,0.06127659574468092,10000
sources_without_historical_train_val,accepted,P,Stack minus PhaseNet Full3C,26,25,0.702865761689291,0.9871794871794872,-0.2843137254901962,-0.47387219504619926,-0.10666666666666669,10000
sources_without_historical_train_val,accepted,P,Stack minus PhaseNet Zonly,26,25,0.7063516004692475,0.9678230266465561,-0.26147142617730856,-0.45081648349465253,-0.08099773242630393,10000
sources_without_historical_train_val,accepted,S,Stack Full3C minus Zonly,26,25,0.4444444444444444,0.19743397314385377,0.24701047130059064,0.058152035131121875,0.4462202782410858,10000
sources_without_historical_train_val,accepted,S,PhaseNet Full3C minus Zonly,26,25,0.4643036701860231,0.2451282051282051,0.219175465057818,0.05031446540880505,0.39045642157572236,10000
sources_without_historical_train_val,accepted,S,Stack minus PhaseNet Full3C,26,25,0.4444444444444444,0.4643036701860231,-0.019859225741578668,-0.14791709413146592,0.09601809234332036,10000
sources_without_historical_train_val,accepted,S,Stack minus PhaseNet Zonly,26,25,0.19743397314385377,0.2451282051282051,-0.047694231984351326,-0.18384901330707432,0.07291373744405487,10000
sources_without_historical_train_val,strict,P,Stack Full3C minus Zonly,26,25,0.7184313725490196,0.7124183006535947,0.006013071895424882,0.0,0.016985127384287108,10000
sources_without_historical_train_val,strict,P,PhaseNet Full3C minus Zonly,26,25,0.9871794871794872,0.9741075917546506,0.013071895424836666,0.0,0.04255319148936165,10000
sources_without_historical_train_val,strict,P,Stack minus PhaseNet Full3C,26,25,0.7184313725490196,0.9871794871794872,-0.26874811463046766,-0.46043947511452754,-0.09070294784580502,10000
sources_without_historical_train_val,strict,P,Stack minus PhaseNet Zonly,26,25,0.7124183006535947,0.9741075917546506,-0.2616892911010559,-0.4521371711077594,-0.08163265306122447,10000
sources_without_historical_train_val,strict,S,Stack Full3C minus Zonly,26,25,0.44987772886932553,0.19260716912446918,0.25727055974485635,0.0677139621776191,0.45693395571228007,10000
sources_without_historical_train_val,strict,S,PhaseNet Full3C minus Zonly,26,25,0.4643036701860231,0.2451282051282051,0.219175465057818,0.05031446540880505,0.39045642157572236,10000
sources_without_historical_train_val,strict,S,Stack minus PhaseNet Full3C,26,25,0.44987772886932553,0.4643036701860231,-0.014425941316697555,-0.14549438844955564,0.10232805292432517,10000
sources_without_historical_train_val,strict,S,Stack minus PhaseNet Zonly,26,25,0.19260716912446918,0.2451282051282051,-0.05252103600373592,-0.1921260896883705,0.07157878932348377,10000
manual_both_sources_without_historical_train_val,accepted,P,Stack Full3C minus Zonly,20,19,0.611965811965812,0.6209626630679261,-0.008996851102114123,-0.03011141222523339,1.1102230246251565e-16,10000
manual_both_sources_without_historical_train_val,accepted,P,PhaseNet Full3C minus Zonly,20,19,0.9833333333333334,0.9581196581196579,0.025213675213675457,0.0,0.08120300751879705,10000
manual_both_sources_without_historical_train_val,accepted,P,Stack minus PhaseNet Full3C,20,19,0.611965811965812,0.9833333333333334,-0.3713675213675214,-0.5883597883597884,-0.14035087719298245,10000
manual_both_sources_without_historical_train_val,accepted,P,Stack minus PhaseNet Zonly,20,19,0.6209626630679261,0.9581196581196579,-0.3371569950517318,-0.5632984901277585,-0.10115378536431163,10000
manual_both_sources_without_historical_train_val,accepted,S,Stack Full3C minus Zonly,20,19,0.3646723646723647,0.15994741608776697,0.20472494858459772,-0.00924782662587549,0.4389593437751033,10000
manual_both_sources_without_historical_train_val,accepted,S,PhaseNet Full3C minus Zonly,20,19,0.3333333333333333,0.23418803418803416,0.09914529914529915,-0.07936507936507936,0.2802275960170697,10000
manual_both_sources_without_historical_train_val,accepted,S,Stack minus PhaseNet Full3C,20,19,0.3646723646723647,0.3333333333333333,0.031339031339031376,-0.05541457811194655,0.128950179937022,10000
manual_both_sources_without_historical_train_val,accepted,S,Stack minus PhaseNet Zonly,20,19,0.15994741608776697,0.23418803418803416,-0.07424061810026719,-0.22772803378831089,0.05626732935943464,10000
manual_both_sources_without_historical_train_val,strict,P,Stack Full3C minus Zonly,20,19,0.6297795771479983,0.6279802069275754,0.001799370220422869,0.0,0.006015037593984918,10000
manual_both_sources_without_historical_train_val,strict,P,PhaseNet Full3C minus Zonly,20,19,0.9833333333333334,0.9662393162393162,0.017094017094017144,0.0,0.05714285714285716,10000
manual_both_sources_without_historical_train_val,strict,P,Stack minus PhaseNet Full3C,20,19,0.6297795771479983,0.9833333333333334,-0.35355375618533513,-0.5750101750101752,-0.12795878585352283,10000
manual_both_sources_without_historical_train_val,strict,P,Stack minus PhaseNet Zonly,20,19,0.6279802069275754,0.9662393162393162,-0.33825910931174086,-0.5652173913043478,-0.10210210210210213,10000
manual_both_sources_without_historical_train_val,strict,S,Stack Full3C minus Zonly,20,19,0.37007047533363324,0.1546819033789851,0.21538857195464814,0.006978922885591024,0.44843151811234594,10000
manual_both_sources_without_historical_train_val,strict,S,PhaseNet Full3C minus Zonly,20,19,0.3333333333333333,0.23418803418803416,0.09914529914529915,-0.07936507936507936,0.2802275960170697,10000
manual_both_sources_without_historical_train_val,strict,S,Stack minus PhaseNet Full3C,20,19,0.37007047533363324,0.3333333333333333,0.03673714200029993,-0.051363995574521995,0.13759842530869365,10000
manual_both_sources_without_historical_train_val,strict,S,Stack minus PhaseNet Zonly,20,19,0.1546819033789851,0.23418803418803416,-0.07950613080904906,-0.23546486708952025,0.057344750923754,10000
