subset,Method,Mode,Policy,Phase,Tolerance_ms,N,N_sources,mean_F1,between_base_SD_F1,mean_Coverage,between_base_SD_Coverage,mean_MAE_ms,between_base_SD_MAE_ms,mean_MedianAE_ms,between_base_SD_MedianAE_ms,mean_RMSE_ms,between_base_SD_RMSE_ms,mean_P90AE_ms,between_base_SD_P90AE_ms,mean_Outlier1s,between_base_SD_Outlier1s
manual_both,Stack,Zonly,accepted,S,200,287,188,0.43549402793087105,0.0173286296650366,0.9283778552071235,0.018522452518630533,1088.0850290219962,114.0159076786767,237.77777777777715,1.9245008972987088,2477.6592848712803,266.85358633416524,3856.8888888888887,364.006308451642,0.18975738305826734,0.0200808093032794
manual_both,Stack,Zonly,strict,P,50,287,188,0.6736175619671535,0.015178141405930358,0.9771583430120016,0.004693904627557894,155.89640745613784,32.742534179950226,31.11111111111124,1.9245008972985407,881.6419276831031,313.1433026875078,193.33333333333346,16.6666666666666,0.011867285920708242,0.001131304750258844
manual_both,Stack,Zonly,strict,P,100,287,188,0.8000837631939651,0.005892543565384529,0.9771583430120016,0.004693904627557894,155.89640745613784,32.742534179950226,31.11111111111124,1.9245008972985407,881.6419276831031,313.1433026875078,193.33333333333346,16.6666666666666,0.011867285920708242,0.001131304750258844
manual_both,Stack,Zonly,strict,P,200,287,188,0.8964182285883929,0.0074366425034537624,0.9771583430120016,0.004693904627557894,155.89640745613784,32.742534179950226,31.11111111111124,1.9245008972985407,881.6419276831031,313.1433026875078,193.33333333333346,16.6666666666666,0.011867285920708242,0.001131304750258844
manual_both,Stack,Zonly,strict,S,50,287,188,0.14489995506021244,0.013287410881494842,0.7282229965156795,0.059313102600714096,908.0052837583075,158.18576396230787,208.8888888888882,7.698003589195024,2209.4594055123885,485.8072575414747,2947.222222222223,539.6867747266141,0.15440249933945338,0.01524762506868011
manual_both,Stack,Zonly,strict,S,100,287,188,0.26222640998715074,0.00887679084298292,0.7282229965156795,0.059313102600714096,908.0052837583075,158.18576396230787,208.8888888888882,7.698003589195024,2209.4594055123885,485.8072575414747,2947.222222222223,539.6867747266141,0.15440249933945338,0.01524762506868011
manual_both,Stack,Zonly,strict,S,200,287,188,0.41217944268587137,0.02190423805685297,0.7282229965156795,0.059313102600714096,908.0052837583075,158.18576396230787,208.8888888888882,7.698003589195024,2209.4594055123885,485.8072575414747,2947.222222222223,539.6867747266141,0.15440249933945338,0.01524762506868011
manual_both,PhaseNetMatched,Full3C,accepted,P,50,287,188,0.9889632778152763,0.006113937804354044,0.9988385598141696,0.002011673411810526,16.756657976170004,3.4548816308661174,6.666666666666525,5.773502691896135,83.52873970094319,21.02639921353657,19.999999999999574,9.999999999999787,0.0,0.0
manual_both,PhaseNetMatched,Full3C,accepted,P,100,287,188,0.9912861581869371,0.0030122439569519556,0.9988385598141696,0.002011673411810526,16.756657976170004,3.4548816308661174,6.666666666666525,5.773502691896135,83.52873970094319,21.02639921353657,19.999999999999574,9.999999999999787,0.0,0.0
manual_both,PhaseNetMatched,Full3C,accepted,P,200,287,188,0.9912861581869371,0.0030122439569519556,0.9988385598141696,0.002011673411810526,16.756657976170004,3.4548816308661174,6.666666666666525,5.773502691896135,83.52873970094319,21.02639921353657,19.999999999999574,9.999999999999787,0.0,0.0
manual_both,PhaseNetMatched,Full3C,accepted,S,50,287,188,0.3479098973927221,0.038772454555633176,0.9965156794425087,0.003484320557491316,175.0000485892655,5.2503138342865245,86.6666666666666,15.275252316519142,350.9604704435526,74.57072782169473,446.33333333333377,16.92138686199654,0.008150443195372592,0.005311785087796599
manual_both,PhaseNetMatched,Full3C,accepted,S,100,287,188,0.5654705827097604,0.042424728949001574,0.9965156794425087,0.003484320557491316,175.0000485892655,5.2503138342865245,86.6666666666666,15.275252316519142,350.9604704435526,74.57072782169473,446.33333333333377,16.92138686199654,0.008150443195372592,0.005311785087796599
manual_both,PhaseNetMatched,Full3C,accepted,S,200,287,188,0.7283359952240044,0.026636069557501644,0.9965156794425087,0.003484320557491316,175.0000485892655,5.2503138342865245,86.6666666666666,15.275252316519142,350.9604704435526,74.57072782169473,446.33333333333377,16.92138686199654,0.008150443195372592,0.005311785087796599
manual_both,PhaseNetMatched,Full3C,strict,P,50,287,188,0.9889632778152763,0.006113937804354044,0.9988385598141696,0.002011673411810526,16.756657976170004,3.4548816308661174,6.666666666666525,5.773502691896135,83.52873970094319,21.02639921353657,19.999999999999574,9.999999999999787,0.0,0.0
manual_both,PhaseNetMatched,Full3C,strict,P,100,287,188,0.9912861581869371,0.0030122439569519556,0.9988385598141696,0.002011673411810526,16.756657976170004,3.4548816308661174,6.666666666666525,5.773502691896135,83.52873970094319,21.02639921353657,19.999999999999574,9.999999999999787,0.0,0.0
manual_both,PhaseNetMatched,Full3C,strict,P,200,287,188,0.9912861581869371,0.0030122439569519556,0.9988385598141696,0.002011673411810526,16.756657976170004,3.4548816308661174,6.666666666666525,5.773502691896135,83.52873970094319,21.02639921353657,19.999999999999574,9.999999999999787,0.0,0.0
manual_both,PhaseNetMatched,Full3C,strict,S,50,287,188,0.34832360412216035,0.038943413658288364,0.9941927990708478,0.005322387566731538,174.20989063750636,5.849968775958267,86.6666666666666,15.275252316519142,349.32992929506696,77.99471317715556,440.0000000000004,5.2915026221295145,0.00816276922697216,0.0053037838714750886
manual_both,PhaseNetMatched,Full3C,strict,S,100,287,188,0.5649633068795001,0.04074180301393969,0.9941927990708478,0.005322387566731538,174.20989063750636,5.849968775958267,86.6666666666666,15.275252316519142,349.32992929506696,77.99471317715556,440.0000000000004,5.2915026221295145,0.00816276922697216,0.0053037838714750886
manual_both,PhaseNetMatched,Full3C,strict,S,200,287,188,0.7280120673824488,0.02513734930607302,0.9941927990708478,0.005322387566731538,174.20989063750636,5.849968775958267,86.6666666666666,15.275252316519142,349.32992929506696,77.99471317715556,440.0000000000004,5.2915026221295145,0.00816276922697216,0.0053037838714750886
manual_both,PhaseNetMatched,Zonly,accepted,P,50,287,188,0.9819865289154013,0.007043641333352493,0.9988385598141696,0.002011673411810526,25.675340919243176,4.11694542506524,6.666666666666525,5.773502691896135,129.08696102192087,22.62903520704586,23.333333333333133,5.773502691896647,0.003484320557491289,0.003484320557491289
manual_both,PhaseNetMatched,Zonly,accepted,P,100,287,188,0.9843114362332853,0.005226504713821157,0.9988385598141696,0.002011673411810526,25.675340919243176,4.11694542506524,6.666666666666525,5.773502691896135,129.08696102192087,22.62903520704586,23.333333333333133,5.773502691896647,0.003484320557491289,0.003484320557491289
manual_both,PhaseNetMatched,Zonly,accepted,P,200,287,188,0.9843114362332853,0.005226504713821157,0.9988385598141696,0.002011673411810526,25.675340919243176,4.11694542506524,6.666666666666525,5.773502691896135,129.08696102192087,22.62903520704586,23.333333333333133,5.773502691896647,0.003484320557491289,0.003484320557491289
manual_both,PhaseNetMatched,Zonly,accepted,S,50,287,188,0.17327388059095375,0.016029161580348342,0.9976771196283392,0.004023346823621116,477.8709782586549,98.58897333420455,186.66666666666683,5.773502691896652,1342.1580957662813,383.7549608227237,867.3333333333339,137.94684966802697,0.07683436232858569,0.013940742170150703
manual_both,PhaseNetMatched,Zonly,accepted,S,100,287,188,0.3104943836651154,0.02186732688668484,0.9976771196283392,0.004023346823621116,477.8709782586549,98.58897333420455,186.66666666666683,5.773502691896652,1342.1580957662813,383.7549608227237,867.3333333333339,137.94684966802697,0.07683436232858569,0.013940742170150703
manual_both,PhaseNetMatched,Zonly,accepted,S,200,287,188,0.5291009803204925,0.023506457016033176,0.9976771196283392,0.004023346823621116,477.8709782586549,98.58897333420455,186.66666666666683,5.773502691896652,1342.1580957662813,383.7549608227237,867.3333333333339,137.94684966802697,0.07683436232858569,0.013940742170150703
