subset,Policy,Phase,Comparison,N,N_sources,F1_A,F1_B,Delta,CI_low,CI_high,bootstrap_draws
station_seen_train,strict,S,Stack Full3C minus Zonly,318,211,0.5457922102985965,0.2570630701808055,0.288729140117791,0.23236590538950752,0.3466910034013413,10000
station_seen_train,strict,S,PhaseNet Full3C minus Zonly,318,211,0.5744989766085636,0.30316911400743035,0.2713298626011333,0.21779257463362725,0.3234723208049564,10000
station_seen_train,strict,S,Stack minus PhaseNet Full3C,318,211,0.5457922102985965,0.5744989766085636,-0.028706766309967158,-0.06881225585353924,0.01204914414907952,10000
station_seen_train,strict,S,Stack minus PhaseNet Zonly,318,211,0.2570630701808055,0.30316911400743035,-0.046106043826624865,-0.0851024547593064,-0.007814021246772109,10000
station_unseen_train,accepted,P,Stack Full3C minus Zonly,12,10,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,10000
station_unseen_train,accepted,P,PhaseNet Full3C minus Zonly,12,10,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,10000
station_unseen_train,accepted,P,Stack minus PhaseNet Full3C,12,10,0.8333333333333334,0.9166666666666666,-0.08333333333333326,-0.4285714285714287,0.2727272727272728,10000
station_unseen_train,accepted,P,Stack minus PhaseNet Zonly,12,10,0.8333333333333334,0.9166666666666666,-0.08333333333333326,-0.4285714285714287,0.2727272727272728,10000
station_unseen_train,accepted,S,Stack Full3C minus Zonly,12,10,0.8333333333333334,0.2592592592592593,0.5740740740740741,0.31313131313131315,0.7863425925925924,10000
station_unseen_train,accepted,S,PhaseNet Full3C minus Zonly,12,10,0.8888888888888888,0.2222222222222222,0.6666666666666666,0.3636363636363637,0.8974358974358974,10000
station_unseen_train,accepted,S,Stack minus PhaseNet Full3C,12,10,0.8333333333333334,0.8888888888888888,-0.05555555555555547,-0.16666666666666685,0.06666666666666654,10000
station_unseen_train,accepted,S,Stack minus PhaseNet Zonly,12,10,0.2592592592592593,0.2222222222222222,0.03703703703703709,-0.06837606837606836,0.14444444444444443,10000
station_unseen_train,strict,P,Stack Full3C minus Zonly,12,10,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,10000
station_unseen_train,strict,P,PhaseNet Full3C minus Zonly,12,10,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,10000
station_unseen_train,strict,P,Stack minus PhaseNet Full3C,12,10,0.8333333333333334,0.9166666666666666,-0.08333333333333326,-0.4285714285714287,0.2727272727272728,10000
station_unseen_train,strict,P,Stack minus PhaseNet Zonly,12,10,0.8333333333333334,0.9166666666666666,-0.08333333333333326,-0.4285714285714287,0.2727272727272728,10000
station_unseen_train,strict,S,Stack Full3C minus Zonly,12,10,0.8333333333333334,0.2592592592592593,0.5740740740740741,0.31313131313131315,0.7863425925925924,10000
station_unseen_train,strict,S,PhaseNet Full3C minus Zonly,12,10,0.8888888888888888,0.2222222222222222,0.6666666666666666,0.3636363636363637,0.8974358974358974,10000
station_unseen_train,strict,S,Stack minus PhaseNet Full3C,12,10,0.8333333333333334,0.8888888888888888,-0.05555555555555547,-0.16666666666666685,0.06666666666666654,10000
station_unseen_train,strict,S,Stack minus PhaseNet Zonly,12,10,0.2592592592592593,0.2222222222222222,0.03703703703703709,-0.06837606837606836,0.14444444444444443,10000
station_unseen_train_and_val,accepted,P,Stack Full3C minus Zonly,12,10,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,10000
station_unseen_train_and_val,accepted,P,PhaseNet Full3C minus Zonly,12,10,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,10000
station_unseen_train_and_val,accepted,P,Stack minus PhaseNet Full3C,12,10,0.8333333333333334,0.9166666666666666,-0.08333333333333326,-0.4285714285714287,0.2727272727272728,10000
station_unseen_train_and_val,accepted,P,Stack minus PhaseNet Zonly,12,10,0.8333333333333334,0.9166666666666666,-0.08333333333333326,-0.4285714285714287,0.2727272727272728,10000
station_unseen_train_and_val,accepted,S,Stack Full3C minus Zonly,12,10,0.8333333333333334,0.2592592592592593,0.5740740740740741,0.31313131313131315,0.7863425925925924,10000
station_unseen_train_and_val,accepted,S,PhaseNet Full3C minus Zonly,12,10,0.8888888888888888,0.2222222222222222,0.6666666666666666,0.3636363636363637,0.8974358974358974,10000
station_unseen_train_and_val,accepted,S,Stack minus PhaseNet Full3C,12,10,0.8333333333333334,0.8888888888888888,-0.05555555555555547,-0.16666666666666685,0.06666666666666654,10000
station_unseen_train_and_val,accepted,S,Stack minus PhaseNet Zonly,12,10,0.2592592592592593,0.2222222222222222,0.03703703703703709,-0.06837606837606836,0.14444444444444443,10000
station_unseen_train_and_val,strict,P,Stack Full3C minus Zonly,12,10,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,10000
station_unseen_train_and_val,strict,P,PhaseNet Full3C minus Zonly,12,10,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,10000
