Method,Mode,BaseSeed,MetaSeed,Policy,Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
Stack,Full3C,44,43,accepted,P,100,335,333,332,286,47,49,0.8588588588588588,0.8537313432835821,0.8562874251497006,0.9940298507462687,72.70270270270258,19.999999999999574,297.1662965543162,0.003003003003003003
Stack,Full3C,44,43,accepted,S,100,335,327,300,192,135,143,0.5871559633027523,0.573134328358209,0.5800604229607251,0.9761194029850746,686.7278287461774,70.00000000000028,2555.581527147202,0.08256880733944955
Stack,Full3C,44,44,accepted,P,100,335,333,333,290,43,45,0.8708708708708709,0.8656716417910447,0.8682634730538922,0.9940298507462687,70.7207207207206,19.999999999999574,294.6851528993942,0.003003003003003003
Stack,Full3C,44,44,accepted,S,100,335,329,309,197,132,138,0.5987841945288754,0.5880597014925373,0.5933734939759037,0.982089552238806,641.7629179331307,70.00000000000028,2267.208425035773,0.08206686930091185
Stack,Zonly,42,42,accepted,P,100,335,334,333,289,45,46,0.8652694610778443,0.8626865671641791,0.8639760837070254,0.9970149253731343,106.22754491017953,19.999999999999574,743.0963703106497,0.005988023952095809
Stack,Zonly,42,42,accepted,S,100,335,316,265,106,210,229,0.33544303797468356,0.3164179104477612,0.32565284178187404,0.9432835820895522,903.006329113924,210.00000000000085,2235.466351821602,0.1550632911392405
Stack,Zonly,42,43,accepted,P,100,335,333,333,289,44,46,0.8678678678678678,0.8626865671641791,0.8652694610778443,0.9940298507462687,69.2792792792792,20.000000000000018,295.8293680739203,0.003003003003003003
Stack,Zonly,42,43,accepted,S,100,335,302,242,107,195,228,0.3543046357615894,0.3194029850746269,0.3359497645211931,0.9014925373134328,1019.3377483443709,214.99999999999986,2666.379220158934,0.15562913907284767
Stack,Zonly,42,44,accepted,P,100,335,334,333,291,43,44,0.8712574850299402,0.8686567164179104,0.8699551569506726,0.9970149253731343,109.64071856287414,29.99999999999936,748.7482568232185,0.005988023952095809
Stack,Zonly,42,44,accepted,S,100,335,307,255,105,202,230,0.34201954397394135,0.31343283582089554,0.32710280373831774,0.9164179104477612,995.1465798045602,220.00000000000063,2359.313721781192,0.17263843648208468
Stack,Zonly,43,42,accepted,P,100,335,334,333,293,41,42,0.8772455089820359,0.8746268656716418,0.8759342301943199,0.9970149253731343,104.31137724550888,19.999999999999574,742.8162948564009,0.005988023952095809
Stack,Zonly,43,42,accepted,S,100,335,322,265,108,214,227,0.33540372670807456,0.32238805970149254,0.3287671232876712,0.9611940298507463,907.9192546583851,220.00000000000153,2304.1781520797695,0.15217391304347827
Stack,Zonly,43,43,accepted,P,100,335,334,331,294,40,41,0.8802395209580839,0.8776119402985074,0.8789237668161435,0.9970149253731343,165.8682634730538,19.999999999999574,1830.8884986832973,0.005988023952095809
Stack,Zonly,43,43,accepted,S,100,335,316,249,111,205,224,0.3512658227848101,0.33134328358208953,0.34101382488479265,0.9432835820895522,916.8987341772151,200.00000000000063,2457.330289541627,0.14240506329113925
Stack,Zonly,43,44,accepted,P,100,335,335,333,295,40,40,0.8805970149253731,0.8805970149253731,0.8805970149253731,1.0,203.61194029850734,19.999999999999574,1961.8729248181005,0.008955223880597015
Stack,Zonly,43,44,accepted,S,100,335,310,249,110,200,225,0.3548387096774194,0.3283582089552239,0.34108527131782945,0.9253731343283582,1010.0,219.99999999999886,2591.65609028717,0.16451612903225807
Stack,Zonly,44,42,accepted,P,100,335,333,327,292,41,43,0.8768768768768769,0.8716417910447761,0.874251497005988,0.9940298507462687,68.40840840840828,19.999999999999574,293.9622659693142,0.003003003003003003
