event_id,source_id,file_name,experiment,case_type,component,rank,p_error_ms,s_error_ms,p_status,s_status,SNR,source_magnitude,source_distance_km,figure_file
stead_event_00007,13487328,stead_event_00007.csv,Zonly,S_not_detected,S,1,9.99999999999979,NaN,detected,not_detected,38.09999847,NaN,NaN,failure_Zonly_S_not_detected_rank01_stead_event_00007_csv.png
stead_event_00050,16538652,stead_event_00050.csv,Zonly,S_not_detected,S,2,0,NaN,detected,not_detected,62.09999847,NaN,NaN,failure_Zonly_S_not_detected_rank02_stead_event_00050_csv.png
stead_event_00069,hv60906871,stead_event_00069.csv,Zonly,S_not_detected,S,3,9.99999999999979,NaN,detected,not_detected,28.29999924,NaN,NaN,failure_Zonly_S_not_detected_rank03_stead_event_00069_csv.png
stead_event_00228,hv61059176,stead_event_00228.csv,Zonly,S_not_detected,S,4,80.0000000000001,NaN,detected,not_detected,33.70000076,NaN,NaN,failure_Zonly_S_not_detected_rank04_stead_event_00228_csv.png
stead_event_00240,hv61086956,stead_event_00240.csv,Zonly,S_not_detected,S,5,30.0000000000002,NaN,detected,not_detected,38.40000153,NaN,NaN,failure_Zonly_S_not_detected_rank05_stead_event_00240_csv.png
stead_event_00241,hv61088071,stead_event_00241.csv,Zonly,S_not_detected,S,6,30.0000000000002,NaN,detected,not_detected,39.90000153,NaN,NaN,failure_Zonly_S_not_detected_rank06_stead_event_00241_csv.png
stead_event_00280,hv61157446,stead_event_00280.csv,Zonly,S_not_detected,S,7,0,NaN,detected,not_detected,31.70000076,NaN,NaN,failure_Zonly_S_not_detected_rank07_stead_event_00280_csv.png
stead_event_00305,hv61190896,stead_event_00305.csv,Zonly,S_not_detected,S,8,0,NaN,detected,not_detected,39.29999924,NaN,NaN,failure_Zonly_S_not_detected_rank08_stead_event_00305_csv.png
stead_event_00614,hv70119016,stead_event_00614.csv,Zonly,S_not_detected,S,9,-9.99999999999979,NaN,detected,not_detected,14.5,NaN,NaN,failure_Zonly_S_not_detected_rank09_stead_event_00614_csv.png
stead_event_00651,hv61042316,stead_event_00651.csv,Zonly,S_not_detected,S,10,9.99999999999979,NaN,detected,not_detected,45.70000076,NaN,NaN,failure_Zonly_S_not_detected_rank10_stead_event_00651_csv.png
stead_event_00001,uw60442066,stead_event_00001.csv,Zonly,S_uncertain,S,1,0,169.999999999998,detected,uncertain,30.70000076,NaN,NaN,failure_Zonly_S_uncertain_rank01_stead_event_00001_csv.png
stead_event_00080,hv60908481,stead_event_00080.csv,Zonly,S_uncertain,S,2,-9.99999999999979,-830,detected,uncertain,30.79999924,NaN,NaN,failure_Zonly_S_uncertain_rank02_stead_event_00080_csv.png
stead_event_00139,hv60928436,stead_event_00139.csv,Zonly,S_uncertain,S,3,-1.77635683940025e-12,1480,detected,uncertain,34.5,NaN,NaN,failure_Zonly_S_uncertain_rank03_stead_event_00139_csv.png
stead_event_00192,hv60978051,stead_event_00192.csv,Zonly,S_uncertain,S,4,99.9999999999996,9.99999999999979,detected,uncertain,27.20000076,NaN,NaN,failure_Zonly_S_uncertain_rank04_stead_event_00192_csv.png
stead_event_00226,hv61058691,stead_event_00226.csv,Zonly,S_uncertain,S,5,240,520.000000000001,detected,uncertain,29.60000038,NaN,NaN,failure_Zonly_S_uncertain_rank05_stead_event_00226_csv.png
